canonicalName,sourceName,position,team,rank,total_ranked,projection
jeremiah trotter,Jeremiah Trotter Jr.,LB70,,208,419,
micah mcfadden,Micah McFadden,LB71,,209,419,
kaleb elarms orr,Kaleb Elarms-Orr,LB72,,210,419,
nick martin,Nick Martin,LB73,,211,419,
christian harris,Christian Harris,LB74,,212,419,
isaiah rodgers,Isaiah Rodgers,CB44,,213,419,
mack wilson,Mack Wilson Sr.,LB75,,214,419,
matt milano,Matt Milano,LB76,,215,419,
gabe jacas,Gabe Jacas,LB77,,216,419,
upton stout,Upton Stout,CB45,,217,419,
tatum bethune,Tatum Bethune,LB78,,218,419,
alex anzalone,Alex Anzalone,LB79,,219,419,
keyshaun elliott,Keyshaun Elliott,LB80,,220,419,
justin strnad,Justin Strnad,LB81,,221,419,
taurean york,Taurean York,LB82,,222,419,
kenneth murray,Kenneth Murray Jr.,LB83,,223,419,
harold perkins,Harold Perkins Jr.,LB84,,224,419,
jimmy rolder,Jimmy Rolder,LB85,,225,419,
daron bland,DaRon Bland,CB46,,226,419,
trenton simpson,Trenton Simpson,LB86,,227,419,
kevin byard,Kevin Byard III,S29,,228,419,
deontae lawson,Deontae Lawson,LB87,,229,419,
christian rozeboom,Christian Rozeboom,LB88,,230,419,
mohamoud diabate,Mohamoud Diabate,LB89,,231,419,
omar speights,Omar Speights,LB90,,232,419,
bryce boettcher,Bryce Boettcher,LB91,,233,419,
nohl williams,Nohl Williams,CB47,,234,419,
tyrice knight,Tyrice Knight,LB92,,235,419,
aiden fisher,Aiden Fisher,LB93,,236,419,
deion jones,Deion Jones,LB94,,237,419,
red murdock,Red Murdock,LB95,,238,419,
dmarco jackson,D'Marco Jackson,LB96,,239,419,
nicholas morrow,Nicholas Morrow,LB97,,240,419,
rasul douglas,Rasul Douglas,CB48,,241,419,
jack kiser,Jack Kiser,LB98,,242,419,
jd bertrand,JD Bertrand,LB99,,243,419,
tyler nubin,Tyler Nubin,S30,,244,419,
akeem davis gaither,Akeem Davis-Gaither,LB100,,245,419,
junior colson,Junior Colson,LB101,,246,419,
brian asamoah,Brian Asamoah II,LB102,,247,419,
isaiah mcduffie,Isaiah McDuffie,LB103,,248,419,
