canonicalName,sourceName,position,team,rank,total_ranked,projection
zaven collins,Zaven Collins,DL,,302,449,
tvondre sweat,T'Vondre Sweat,DL,,303,449,
emmanuel mcneil warren,Emmanuel McNeil-Warren,DB,,304,449,
dangelo ponds,D'Angelo Ponds,DB,,305,449,
benjamin morrison,Benjamin Morrison,DB,,306,449,
jarvis brownlee,Jarvis Brownlee Jr.,DB,,307,449,
princely umanmielen,Princely Umanmielen,DL,,308,449,
justin strnad,Justin Strnad,LB,,309,449,
felix anudike uzomah,Felix Anudike-Uzomah,DL,,310,449,
anthony nelson,Anthony Nelson,DL,,311,449,
cordale flott,Cor'Dale Flott,DB,,312,449,
kenneth grant,Kenneth Grant,DL,,313,449,
chop robinson,Chop Robinson,DL,,314,449,
jarran reed,Jarran Reed,DL,,315,449,
tj parker,T.J. Parker,DL,,316,449,
kenny clark,Kenny Clark,DL,,317,449,
jaquan mcmillian,Ja'Quan McMillian,DB,,318,449,
jack gibbens,Jack Gibbens,LB,,319,449,
davon godchaux,Davon Godchaux,DL,,320,449,
deone walker,Deone Walker,DL,,321,449,
jaylon johnson,Jaylon Johnson,DB,,322,449,
drake thomas,Drake Thomas,LB,,323,449,
arik armstead,Arik Armstead,DL,,324,449,
javon kinlaw,Javon Kinlaw,DL,,325,449,
jonas sanker,Jonas Sanker,DB,,326,449,
ashawn robinson,A'Shawn Robinson,DL,,327,449,
calais campbell,Calais Campbell,DL,,328,449,
cody barton,Cody Barton,LB,,329,449,
billy bowman,Billy Bowman,DB,,330,449,
asante samuel,Asante Samuel Jr.,DB,,331,449,
nahshon wright,Nahshon Wright,DB,,332,449,
teair tart,Teair Tart,DL,,333,449,
logan hall,Logan Hall,DL,,334,449,
tj sanders,T.J. Sanders,DL,,335,449,
jack sawyer,Jack Sawyer,DL,,336,449,
jacob martin,Jacob Martin,DL,,337,449,
sam okuayinonu,Sam Okuayinonu,DL,,338,449,
jourdan lewis,Jourdan Lewis,DB,,339,449,
